,Method,Accuracy,Recall,F1 Score,Sensitivity
0,NeoSVM,0.5987012987012987,0.5935064935064935,0.5966057441253264,0.5935064935064935
1,SVM linear,0.5688311688311688,0.6532467532467533,0.6023952095808384,0.6532467532467533
2,SVM rbf,0.5597402597402598,0.5363636363636364,0.5492021276595744,0.5363636363636364
3,SVM poly,0.5025974025974026,0.03506493506493506,0.06585365853658537,0.03506493506493506
4,SVM sigmoid,0.5110389610389611,0.5454545454545454,0.527306967984934,0.5454545454545454
5,KNN 10 neighbor,0.5396103896103897,0.43116883116883115,0.48361252731245447,0.43116883116883115
6,KNN 100 neighbor,0.5694805194805195,0.5103896103896104,0.5424430641821946,0.5103896103896104
7,KNN 500 neighbor,0.5402597402597402,0.522077922077922,0.5317460317460317,0.522077922077922
